"PROVNAME","SHUNX","联通在信","IPTV业务","BREW","行业信息服务","流媒体","固网IVR","IVR业务","内容点播","行业短信","互联网电视业务","SP彩信MMS业务","固网短信","沃联系","电话会议","电脑保姆","固网悦铃","粗定位业务","通话秘书","G网WAP业务","共享能力平台","网络安全","联通丽音","短信卡业务","USSD","炫铃","音乐业务","小秘书","通信管家","沃阅读","精定位业务","IVVR业务","多媒体炫铃","黑莓业务","EMP","手机邮箱","联通丽音10155","媒体类社交应用","视频监控","行业WAP","上网卡","平安家居","G网JAVA业务","GIS","行业彩信","点对点彩信业务","WAPPUSH"
"山西","1","443044","-7770287","0","9721","0","761499","62877","0","93259","0","0","0","0","0","0","0","0","121390","0","118428","0","0","0","8330","0","0","2418","0","0","5368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"西藏","2","194","0","0","0","0","0","8574","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","522","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"陕西","3","375489","0","0","0","0","1546","14594","0","575","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"内蒙古","4","121401","0","0","179793","0","28143","80304","0","0","0","50716","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"宁夏","5","71481","0","0","0","1096","0","0","0","0","359910","49401","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"甘肃","6","515493","0","0","0","0","0","137164","0","0","0","4622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"安徽","7","594204","0","0","0","7914","0","34135","0","0","2815","68394","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"福建","8","449345","0","0","52","0","0","227537","47831","0","0","4309","0","0","0","0","0","22","0","0","0","0","0","0","0","7002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"海南","9","59023","0","0","0","41433","0","6765","622805","0","0","21492","0","0","0","0","0","0","0","0","0","0","2392","0","0","0","0","0","0","0","10","0","0","0","300","0","0","0","0","0","0","0","0","0","0","0","0"
"青海","10","241159","476464","0","0","0","0","0","0","0","0","121459","0","0","0","0","0","0","0","0","0","0","0","0","0","822","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"吉林","11","156073","0","0","60867","0","0","683467","0","0","0","1190","0","0","0","0","0","0","0","0","0","0","11694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"重庆","12","383496","0","0","0","0","0","300523","0","0","0","307756","0","0","0","0","0","0","0","4544","0","0","0","0","0","36804","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新疆","13","685067","9849","0","0","404409","0","28453","0","0","4462","44283","0","0","0","0","0","0","0","0","0","0","0","0","0","111034","0","0","5882","4","10388","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"黑龙江","14","78519","0","0","930919","14","45840","69014","154607","343835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2798","0","0","0","0","0","0","0","0","0"
"云南","15","242918","4054","0","0","0","0","0","0","13358","0","87411","0","1191369","0","0","0","0","0","0","0","0","0","178619","0","529","0","0","28","0","0","0","0","0","0","0","2210","0","0","0","0","0","0","0","0","0","0"
"江西","16","1470203","0","0","154530","66020","0","5766","0","0","0","29095","0","0","0","0","0","170","0","0","0","0","0","0","0","0","53760","0","0","27792","9","0","0","0","0","0","0","0","552","0","0","0","0","0","0","0","0"
"四川","17","566379","0","0","125955","263802","21277","0","0","815127","0","46901","0","0","0","0","6635","4450","0","9789","0","0","2247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"江苏","18","1411898","0","0","0","-111","0","100183","0","0","0","12620","0","0","0","579379","0","0","0","18","0","0","0","0","0","15143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"上海","19","356143","47902","0","228945","10748","313228","1277","37456","0","0","11026","70410","0","0","0","0","2048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1229578","0"
"广西","20","2309847","0","0","2172","13044","0","95585","0","0","0","16989","0","0","0","0","0","0","0","31945","0","0","0","0","0","444","40696","0","0","0","6","0","16234","0","4808","8638","0","0","0","0","0","0","0","0","0","0","0"
"湖北","21","1209858","3641824","0","0","0","0","148135","0","767","3670","20456","0","0","0","0","13588","0","0","2940","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"河南","22","1341253","0","0","0","1969242","1156481","653544","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"湖南","23","2806739","0","0","0","36129","0","75212","0","0","1881601","120544","0","0","0","0","0","356590","0","0","0","0","0","0","0","0","0","0","74944","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"山东","24","1306344","0","0","472931","0","466745","416534","0","0","0","168963","973467","0","79015","0","0","29534","73418","0","69337","0","0","0","1594690","15210","0","0","0","0","15292","16339","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"广东","25","1882620","0","0","4302096","6733","0","737621","1744184","0","73581","0","0","0","0","0","0","0","0","85598","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"浙江","26","939658","1008502","0","4582312","22219","0","23297","0","3043857","0","35667","858","0","0","0","0","6658","0","0","0","0","172012","0","0","15914","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2409","0","0","0","0"
"贵州","27","179889","11286571","0","0","101598","0","0","0","736","0","138","0","0","0","0","0","13748","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38266","0","0","3621","0","0","0"
"天津","28","745281","12196304","0","21440","8","325","74","20506","0","0","0","0","0","848611","0","0","0","193135","0","0","0","0","0","0","0","0","13","0","0","0","0","0","8734","0","0","0","0","0","0","0","0","0","0","0","0","0"
"北京","29","16698","14839514","0","352126","-42","1592377","42105","203630","184877","284","0","32167","0","120140","0","0","0","4214","0","29964","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53841","0","0","0","0","0","88"
"辽宁","30","3541906","8350000","0","0","0","748692","322429","3349849","-153842","0","0","294905","0","0","0","100789","24964","0","1036586","0","0","2385","0","0","0","0","103715","29605","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"河北","31","2684410","2018765","17467001","55939","660","2678931","620935","528399","0","0","112044","0","0","0","0","324039","0","0","0","0","11634","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
