"PROVNAME","SHUNX","联通在信","IPTV业务","BREW","行业信息服务","流媒体","固网IVR","IVR业务","内容点播","行业短信","互联网电视业务","SP彩信MMS业务","固网短信","沃联系","电话会议","电脑保姆","固网悦铃","粗定位业务","通话秘书","G网WAP业务","共享能力平台","网络安全","联通丽音","短信卡业务","USSD","炫铃","音乐业务","小秘书","通信管家","沃阅读","精定位业务","IVVR业务","多媒体炫铃","黑莓业务","EMP","手机邮箱","联通丽音10155","媒体类社交应用","视频监控","行业WAP","上网卡","平安家居"
"吉林","1","-14705","0","0","426","0","0","-1137","0","0","0","124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"西藏","2","2","0","0","0","0","0","127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"北京","3","328","0","0","0","78","0","741","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"陕西","4","3614","0","0","0","0","0","246","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"青海","5","2211","2274","0","0","0","0","0","0","0","0","1117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"宁夏","6","4435","0","0","0","38","0","0","0","0","0","3677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"甘肃","7","6314","0","0","0","0","0","1835","0","0","0","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"贵州","8","3905","3401","0","0","5004","0","0","0","0","0","299","0","0","0","0","0","178","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"新疆","9","7658","0","0","0","8466","0","435","0","0","0","1122","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"山西","10","3577","0","0","48","0","6101","64","0","635","0","0","0","0","0","0","0","0","1614","0","3468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"安徽","11","13577","0","0","0","294","0","609","0","0","0","1587","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"内蒙古","12","1496","0","0","12735","0","308","1062","0","0","0","604","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"福建","13","13569","0","0","0","0","0","2916","268","0","0","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"江西","14","15007","0","0","1671","1336","0","83","0","0","0","339","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"云南","15","2709","2139","0","0","54","0","0","0","30","0","1015","0","12897","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"上海","16","4485","398","0","8838","272","1796","23","328","0","0","132","2125","0","0","0","0","22","0","0","0","3368","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"海南","17","2645","0","0","0","27454","0","159","7853","0","0","511","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"江苏","18","16623","0","0","0","0","0","1349","0","0","0","126","0","0","0","8468","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"重庆","19","3627","27415","0","0","78","0","3228","0","0","0","3205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"广西","20","43769","0","0","2273","246","0","1374","0","0","0","221","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"辽宁","21","41030","0","0","0","0","4312","3420","3750","0","0","0","2518","0","0","0","647","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"河南","22","21668","1350","0","0","30380","13254","6065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"湖北","23","18459","35244","0","0","0","0","1449","0","0","64","228","0","0","0","0","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"浙江","24","11683","10666","0","6216","492","0","270","0","27258","0","235","6","0","0","0","0","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"湖南","25","28317","0","0","0","1294","0","1213","0","0","27083","1796","0","0","0","0","0","3837","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"山东","26","14272","17861","0","2530","-2","5238","722","137","0","0","1371","13352","0","4022","0","401","327","1116","0","173","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"四川","27","12475","101","0","1158","114258","242","0","0","8085","0","1002","0","0","0","0","67","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"黑龙江","28","1855","67491","0","9601","0","1316","1788","2650","3452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"天津","29","8776","115384","0","306","0","4","2","347","0","0","0","0","0","6504","0","8","0","1484","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"广东","30","15381","0","0","100781","170","0","9545","19967","0","911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"河北","31","31592","21841","175166","699","0","31799","14470","9984","0","0","1465","0","0","0","0","3546","0","0","0","0","146","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
